simple_surname,full_name
"Offenbach", "Offenbach, Jacques"
"Offenbach", "Offenbach, Jacques"
"Oginski", "Ogiński, Michał Kleofas"
"Ohzawa", "Ohzawa, Hisato"
"Oldberg", "Oldberg, Arne"
"Oliveros", "Oliveros, Pauline"
"Olivers", "Olivers, Thomas"
"Onslow", "Onslow, George"
"Orff", "Orff, Carl"
"Ornstein", "Ornstein, Leo"
"Ortiz", "Ortiz, Diego"
"Oswald", "Oswald, James"
"Ouseley", "Ouseley, Frederick"
"Pachebel", "Pachelbel, Johann"
"Pachelbel", "Pachelbel, Johann"
"Pacius", "Pacius, Fredrik"
"Paderewski", "Paderewski, Ignacy Jan"
"Paganini", "Paganini, Niccolò"
"Paganini", "Paganini, Niccolò"
"Paine", "Paine, John Knowles"
"Paisiello", "Paisiello, Giovanni"
"Paisiello", "Paisiello, Giovanni"
"Paladilhe", "Paladilhe, Émile"
"Palestrina", "Palestrina, Giovanni Pierluigi da"
"Palestrina", "Palestrina, Giovanni Pierluigi da"
"Palmgren", "Palmgren, Selim"
"Panufnik", "Panufnik, Andrzej"
"Paolo", "Paolo da Firenze"
"PapineauCouture", "Papineau-Couture, Jean"
"Paradis", "Paradis, Maria Theresia von"
"Pardo", "Pardo, Paul"
"Paris", "Paris, Twila"
"Parker", "Parker, Horatio"
"Parry", "Parry, Hubert"
"Parry", "Parry, Hubert"
"Part", "Pärt, Arvo"
"Partch", "Partch, Harry"
"Pasquini", "Pasquini, Bernardo"
"Passion", "Passion Worship"
"Penderecki", "Penderecki, Krzysztof"
"Pepusch", "Pepusch, Johann Christoph"
"Pergolesi", "Pergolesi, Giovanni Battista"
"Pergolesi", "Pergolesi, Giovanni Battista"
"Peri", "Peri, Jacopo"
"Perosillo", "Perosillo, Gianluca"
"Perotin", "Pérotin"
"Perronet", "Perronet, Edward"
"Persichetti", "Persichetti, Vincent"
"Pescetti", "Pescetti, Giovanni Battista"
"PetersonBerger", "Peterson-Berger, Wilhelm"
"Petrassi", "Petrassi, Goffredo"
"Pettersson", "Pettersson, Allan"
"Pfitzner", "Pfitzner, Hans"
"Philidor", "Philidor, François-André Danican"
"Philipp", "Philipp, Isidor"
"Philips", "Philips, Peter"
"Piazzolla", "Piazzolla, Astor"
"Piccinini", "Piccinini, Alessandro"
"Piccinni", "Piccinni, Niccolò"
"Pierne", "Pierné, Gabriel"
"Pierne", "Pierné, Gabriel"
"Pijper", "Pijper, Willem"
"Pilkington", "Pilkington, Francis"
"Pinto", "Pinto, George"
"Pisendel", "Pisendel, Johann Georg"
"Piston", "Piston, Walter"
"Pixis", "Pixis, Johann Peter"
